MFCC_1,MFCC_2,MFCC_3,MFCC_4,MFCC_5,MFCC_6,MFCC_7,MFCC_8,MFCC_9,MFCC_10,MFCC_11,MFCC_12,MFCC_13,MFCC_14,MFCC_15,MFCC_16,MFCC_17,MFCC_18,MFCC_19,MFCC_20,MFCC_21,MFCC_22,MFCC_23,MFCC_24,MFCC_25,MFCC_26,MFCC_27,MFCC_28,MFCC_29,MFCC_30,MFCC_31,MFCC_32,MFCC_33,MFCC_34,MFCC_35,MFCC_36,MFCC_37,MFCC_38,MFCC_39,MFCC_40,MFCC_41,MFCC_42,MFCC_43,MFCC_44,MFCC_45,MFCC_46,MFCC_47,MFCC_48,MFCC_49,MFCC_50,MFCC_51,MFCC_52,MFCC_53,MFCC_54,MFCC_55,MFCC_56,MFCC_57,MFCC_58,MFCC_59,MFCC_60,MFCC_61,MFCC_62,MFCC_63,MFCC_64,MFCC_65,MFCC_66,MFCC_67,MFCC_68,MFCC_69,MFCC_70,MFCC_71,MFCC_72,MFCC_73,MFCC_74,MFCC_75,MFCC_76,MFCC_77,MFCC_78,MFCC_79,MFCC_80,MFCC_81,MFCC_82,MFCC_83,MFCC_84,MFCC_85,MFCC_86,MFCC_87,MFCC_88,MFCC_89,MFCC_90,MFCC_91,MFCC_92,MFCC_93,MFCC_94,MFCC_95,MFCC_96,MFCC_97,MFCC_98,MFCC_99,MFCC_100,MFCC_101,MFCC_102,MFCC_103,MFCC_104,MFCC_105,MFCC_106,MFCC_107,MFCC_108,MFCC_109,MFCC_110,MFCC_111,MFCC_112,MFCC_113,MFCC_114,MFCC_115,MFCC_116,MFCC_117,MFCC_118,MFCC_119,MFCC_120,MFCC_121,MFCC_122,MFCC_123,MFCC_124,MFCC_125,MFCC_126,MFCC_127,MFCC_128,Label
-113.59882,121.57067,-19.162262,42.363937,-6.362266,18.621931,-13.699734,15.339802,-12.274305,10.970945,-8.326061,8.802088,-3.6699412,5.7446756,-5.162783,0.75170654,-1.6878542,-0.4087299,-2.3026767,1.2224671,-3.5328746,-1.1397806,-4.282828,-4.226084,0.91518766,0.9140638,-5.761807,-3.9328036,1.5094346,2.6984656,5.656073,-3.269008,-0.20606373,-2.9996982,4.476317,-0.47685507,6.006285,-0.059690353,-3.4585848,-1.8418324,1.7379032,-0.24634257,-3.6923406,-1.9792995,-2.6598337,-1.1289784,0.70774883,4.70719,0.64366573,-2.449958,-1.7082897,1.7715704,0.9231392,-3.0125911,-1.4475657,0.053799942,-1.3601166,-2.1370687,0.38290474,1.8646513,-0.15292925,-1.2585913,-1.4593478,-2.8015306,-1.8702054,-1.8466644,-1.3881493,-4.8594813,-1.6726174,5.878838,3.7183747,-0.05868332,-1.5637745,-0.3582028,-0.15231556,-0.80955255,-1.5611051,-0.34080762,-0.18680294,-0.6427841,-2.405176,-1.4611197,-0.94556314,-0.9160997,-1.8925997,-1.2390838,-1.1945374,0.54726285,-0.20717098,-1.9195477,-1.2150506,-0.926087,0.112569034,-0.22233805,0.5745825,-0.5319927,-0.48131862,-1.6149628,-0.60100055,-0.12944493,-0.9695741,0.2612075,0.6478711,0.21861391,0.66901374,-0.047179416,-0.37937394,0.434886,0.6150985,0.42139998,-0.07078222,0.88195413,-0.102906935,-0.25167426,0.0066146674,-0.3384408,0.56854546,1.0586131,0.2443705,-1.5844094,-0.31970698,0.72175604,-0.2501979,0.52651006,0.5977361,-0.23335373,0.4524285,-0.19452037,blues
-207.52383,123.98514,8.947019,35.86715,2.9095948,21.519472,-8.556513,23.370676,-10.103608,11.899242,-5.558824,5.3778763,-2.234492,4.2207036,-6.0106864,0.92929417,-0.7284029,0.2968724,-0.28243044,0.5306444,-4.098785,-1.2431856,-2.851357,-4.3501954,3.2750847,1.2195734,-0.013765434,-0.066608235,3.9790335,-0.45776725,0.8360187,-3.7432172,-4.0997047,-2.4519055,5.834808,3.5449877,4.89732,-0.41559702,-1.9954144,-0.46521798,1.1312952,-1.6609588,-2.5005121,-2.9126,-4.1117864,-2.872347,0.19327089,0.9569017,-2.8195674,-3.9707398,-0.08889584,4.5709586,2.3218768,-1.4871798,-3.1179667,-1.9352758,-2.260484,0.96161056,0.4358191,1.2203084,-1.2075676,-3.7295096,-4.5765686,-4.073235,-1.9949981,-1.8331769,-1.8065196,-2.0012991,1.7443444,4.9765506,2.0534842,-0.7123059,-0.8418879,-1.2689189,0.7976354,0.31942365,0.25886062,1.389951,0.18609695,-0.63565034,-0.08163483,0.38736862,-0.24127518,-0.44701415,-1.5545064,-0.6507418,0.23223698,0.31015098,-1.0347626,-2.469248,-1.6977082,-1.5762346,-0.971566,-1.104003,-1.3545579,-1.1174413,-1.3516693,-1.2804203,-0.65841836,-1.2521231,-1.0683115,1.1891887,1.4823402,0.5700913,1.0664874,0.81700104,-0.20954138,0.02496345,-0.0106908465,-0.4425842,0.04227137,0.2178881,0.07425576,0.017107038,-0.9395263,-0.7192519,1.1269071,0.8844203,-0.6389427,-1.1657171,-0.5351298,0.018095898,-0.5984193,-0.38058668,0.18147488,-0.22787143,-0.26469013,-0.3406856,blues
-90.757164,140.44087,-29.084547,31.686693,-13.976547,25.753752,-13.66499,11.634442,-11.778322,9.714756,-13.125314,5.7912464,-8.901966,-1.0801601,-9.226245,2.4483044,-7.7248397,-1.819024,-3.4404576,-2.2381277,-4.052338,-0.5714226,-2.0118372,-5.386336,-5.1335306,-7.805535,-1.1687835,-0.2059669,1.3964347,-3.00188,-1.3764814,-4.7496324,-0.3775158,0.49346918,0.44727057,-4.162672,-4.815749,-6.7032337,-4.425334,-0.98151916,3.7284253,1.3224053,-1.8036563,-1.5901235,1.6140722,-1.5910211,-4.520146,-3.310398,2.1620164,-1.9988204,-7.6339245,-5.116235,0.9203599,2.5683393,0.12871781,-1.0497801,-1.3823388,-0.8421159,-1.2141253,-1.0258929,-0.6685266,1.5274469,2.2517185,0.5757625,-0.8281402,-1.6412281,-4.0427012,-0.54336166,4.767332,1.775473,-3.8936245,-1.4720638,0.38301098,-0.658359,-0.8109431,-2.7237706,-3.9811516,-2.0111718,-1.5963405,-1.0701104,0.49946475,2.1591122,2.3422534,2.7542052,1.9352872,0.3236356,-0.7464321,-1.7114532,0.14501347,1.0547658,-0.5336363,0.04760223,-0.22825903,0.11559266,0.28688946,-0.99167544,-0.036001462,-0.963765,-2.5659664,-0.9623648,0.714916,0.22561727,0.31662026,0.2743541,-0.25044364,0.32849032,0.19362228,-0.035170637,-0.96703404,-0.17810968,0.9302075,-0.08518621,0.4237894,-0.08895232,0.27918565,-0.99691474,-1.072672,0.77577204,-0.11719012,-0.94927627,-0.2330986,0.70917946,0.76172125,-0.18016633,-0.38385522,0.081770144,0.14500932,0.26963714,blues
-199.57513,150.0861,5.663404,26.855282,1.7700713,14.232647,-4.827845,9.286853,-0.75612015,8.134435,-3.200026,6.078081,-2.478445,-1.081587,-2.874454,0.7739941,-3.3240688,0.6363107,-0.6159676,-3.405046,-1.4968088,-0.054011676,-1.8613145,-4.709931,-3.9263318,-6.64948,-2.897778,-3.2251306,-0.2723147,-3.8175535,-2.8219495,-4.2044272,-2.7023358,-3.8456037,-2.52441,-4.93561,-5.954977,-6.616996,-6.396001,-1.5011888,0.8706008,-3.0101135,-4.549637,-3.0462236,-4.455289,-4.104845,-4.1077347,-1.7685777,-2.7838454,-5.747969,-6.317478,-4.4965277,-2.3225107,-1.8428435,-3.9243069,-5.5730267,-6.6244063,-4.71764,-2.6138105,-1.9064404,-1.5531993,-1.3741316,-0.5919343,-2.241737,-3.6340473,-4.4596114,-3.5882812,0.9187346,0.64110816,-3.1591506,-3.8145456,-2.5351694,-2.1825047,-1.0131328,-1.1453813,-3.1753778,-2.7877243,-2.584563,-3.3763173,-1.5790646,0.5602055,1.1417701,0.7324806,0.8313664,0.66637844,-1.0032747,-1.546223,-0.8431809,0.18075866,0.055472612,-0.46034178,-0.34036723,-0.22107656,-1.3368889,-1.1036143,-1.1265789,-1.9519045,-1.9356364,-1.5229691,-0.2537545,-1.0566516,-1.3085638,0.14121279,-0.0074829077,0.33454227,0.119851686,-0.24438605,-0.23178415,-0.5044534,0.19869186,0.03823136,-0.33196983,-0.38091224,-0.852828,-0.856655,0.40372127,0.014354898,-1.564334,-1.1449306,0.18505256,0.17570378,-0.6456988,0.31409326,0.6834441,-0.33374497,0.35378933,0.051330052,-0.8865794,blues
-160.35417,126.20948,-35.581394,22.139257,-32.47355,10.850701,-23.35007,0.49324933,-11.796538,1.2035192,-13.084959,-2.8104992,-6.9344707,-7.5538754,-9.167669,-4.515863,-5.451786,-0.91595227,-4.4080176,-11.704385,-5.866304,-0.721432,0.95571446,-1.2184657,4.58054,0.30164942,-1.2800436,-4.4865327,-0.410622,0.2792642,8.481702,3.646146,-3.0076735,-6.110803,-6.9519696,-4.0705533,-1.1372156,-0.4916049,-4.786619,-3.2211275,2.071437,0.59520537,-2.6956348,-5.807225,-6.010917,-2.1027827,1.7307187,2.219038,-3.611551,-3.7664866,3.479787,2.150442,-5.822652,-7.39903,-7.2411666,-3.0683892,-2.461287,-0.9427238,5.2598195,6.2608685,4.160121,0.12326666,-1.1494316,-1.5021569,-4.1015306,-1.1997013,-1.5379381,1.2351046,0.099335544,-5.182691,0.012740204,2.1939266,1.401323,-0.05912395,-0.51448435,0.48393023,1.4258218,3.5390995,3.4146516,1.7651764,-0.5058802,-0.6326046,-0.83397853,-1.6087557,-0.7611985,-1.7378839,-0.66229886,1.5702873,2.09243,1.1083809,1.0495118,1.3525978,1.6242646,1.05503,0.68171567,0.6650156,1.2965302,1.4832803,-1.6371976,-1.46644,1.2865814,1.5587474,1.2172292,0.5912095,-0.051698502,0.25373054,-0.40749004,-0.4222481,0.026460014,-0.08979318,-0.38475883,-1.0181288,-1.2917887,-0.8573577,-0.5727403,0.37904498,0.12483902,1.5799265,3.0335188,0.84885675,0.013763721,0.36559558,0.9163283,-0.053327434,0.27803594,0.5445508,-0.79262924,-0.5906255,blues
-177.80174,118.20316,-17.57063,30.760927,-21.742554,11.919263,-20.734299,3.1852882,-8.580818,-0.9328852,-11.772245,-2.408764,-9.348446,-9.942636,-3.9021835,-5.574562,-1.8393143,-2.7893167,-3.0478048,-8.109732,-2.4683328,-1.7097126,-4.2748,-4.638067,-2.3258955,0.92919034,4.380316,5.1934047,5.6919427,2.5332878,2.618916,-4.3523993,-6.8065543,-2.9144077,-1.0607129,1.9090171,1.0149453,-3.1143417,-5.300716,-5.259621,-1.4755621,-1.2196708,-3.6288495,-3.8646193,-4.8353915,-2.2013583,2.063599,6.5064387,5.1445265,-1.0388985,-1.0705106,0.75912726,1.4536735,0.7814001,-1.19992,-1.388133,-0.7873249,-0.62149674,1.2843329,0.4801785,-2.1488986,-1.2806664,-0.21341194,-4.084764,-5.456805,-2.0464406,-4.122664,-4.2862554,0.5005479,7.446479,8.650644,5.2999816,3.6494653,1.7387735,-0.72366834,-1.9609586,-0.14010091,-0.0113953,1.415529,2.6341426,-1.6270912,-3.3404484,-0.75138706,0.42717826,0.18297279,-0.26505077,-0.95523936,-2.269443,-0.234525,0.8840036,-1.5104208,-0.16334957,1.710965,2.869132,2.3518927,2.1979492,-0.7148409,-2.4297101,0.78662705,-0.88083607,-1.534171,-0.527388,-0.32309192,0.68315345,0.9023831,-0.80593944,-0.44560507,0.8175911,0.5838437,0.59882647,0.22182935,1.0903137,1.4771416,1.463409,1.4163104,0.25298205,-1.728344,-0.5068254,0.9539887,-1.2193117,-0.6666159,-0.23038109,-0.2961003,0.96279395,-0.24320096,-0.3598799,0.65603364,-0.91837054,blues
-190.0688,130.27023,-36.362114,33.036217,11.093892,-0.5918819,-20.890266,0.27844244,-6.496385,-5.5127354,-7.847404,-3.1243007,-6.6028214,-9.95,-6.5426884,-10.072228,-10.918623,-6.9652433,-3.4394317,-6.484499,-7.109118,-7.1270666,-5.2788844,-4.594155,-3.2485366,-2.9024067,1.4326023,2.9310663,2.11799,-1.4838628,-0.6356672,2.9653616,2.610367,1.7908589,-1.9822515,-5.1708612,-2.3732464,0.14038283,3.7044878,5.2581644,4.122055,1.1979403,-2.5943682,-3.7476707,-4.012817,-1.936914,-2.4802296,-2.4837737,-3.1638484,-4.6009684,-1.187027,2.3780475,0.0714718,-2.1771364,-2.7180045,-3.5339596,-2.2623746,1.9512802,2.6784136,1.8275616,3.9246688,2.8299925,0.43497494,-1.3114891,-0.8486837,1.9723003,3.669838,-1.2777419,-5.895686,-1.6866428,1.2573136,-2.4051332,-4.268719,-3.2181115,-2.86246,0.19280472,3.9821281,4.589648,4.8352532,4.0518265,1.1050345,0.95751804,0.9766626,0.056333065,-0.4933594,-0.71419245,0.58296835,0.5921557,-0.9934303,-1.243241,-0.3419679,-0.51394105,-0.202307,-0.1591363,-0.25160944,-0.10874575,-0.3030732,0.73766845,-0.13205327,-1.4487201,0.18915138,0.4982481,0.11180147,0.1548865,-0.6025031,-0.5640803,-0.4318086,-0.64997137,-1.0870289,-0.8378402,-0.6353541,-1.0773933,-1.0835087,-0.47789508,-0.28984958,-1.1951224,-0.81326866,0.7812363,0.4683245,-0.4807601,-0.1685679,-0.2543394,-0.20298174,-0.53045213,-1.011171,-0.9447553,-0.6506707,0.3420709,blues
-179.3723,136.44833,-26.662588,39.96545,5.3108945,10.919133,-20.559534,8.503361,-11.349764,-3.4705548,-8.415842,-6.957211,-3.5460427,-8.051758,-8.964918,-8.427482,-10.5642805,-10.785659,-4.6954694,-8.631641,-11.013334,-10.376792,-1.8437742,-1.4459479,-3.1292245,-1.1877846,-3.6127698,-3.2484038,-0.63257986,0.89647967,4.022117,2.7066686,-0.16680875,-2.527765,-3.4568138,-2.8802347,0.73777616,-1.9461105,-4.875629,-3.2393322,0.9504128,1.7547597,-0.06959136,-4.0949674,-4.4817815,-0.11346704,1.8369877,2.0838745,0.28798714,-2.2256954,-2.9420607,1.2972095,-1.2561431,-6.5986066,-4.632507,-0.42828175,0.052884012,0.46739534,3.965288,7.574467,6.633547,2.2253306,1.2303404,-0.094256274,-1.5467316,-1.3281372,1.554047,2.5235014,-3.0375166,-3.5575662,1.800873,3.792894,-0.052369498,-1.4897379,-0.15136752,-1.5342002,-0.40998736,3.2738016,3.2305546,0.6856434,-0.93131924,-0.118612565,0.22415064,-0.20749217,-0.08656684,-1.5219787,-0.6650284,0.98353946,0.6997566,0.03419035,0.8581713,1.0644003,0.17230019,0.6534272,-0.26052713,-0.7782925,1.1793475,0.92015636,-2.2885017,-2.241283,-0.1942422,0.23231828,0.7381742,0.6718142,-0.18422806,-0.42514485,-0.17931439,-0.57155013,-0.09881221,0.56524307,-0.33748668,-1.4835874,-1.8282692,-0.5030092,0.17413847,-1.0782161,-0.80747765,1.3372073,1.9169579,0.7697813,-0.52267027,-0.92295486,0.30626154,0.24961406,-0.49155515,0.12100531,0.029515784,-0.39832667,blues
-121.38979,122.49833,-14.734729,46.122135,-8.179258,20.172466,-19.171894,23.036839,-11.832729,21.154655,-6.7227974,6.989506,-12.730549,5.0585384,-5.1858068,-1.4536041,-7.042629,2.694213,3.4095314,-2.7137442,-4.271836,-0.6242572,-4.291122,-13.373034,-8.269029,-2.0969207,10.555008,2.9229867,-1.035578,-0.7515336,-0.50309134,-1.4110123,-1.886272,-1.8116941,2.3668487,-4.3018703,-3.882687,-5.0936933,0.50897497,1.1860472,-0.95985425,-6.2501316,-4.108062,-0.3744368,-1.3007159,-6.540959,-5.818531,-3.1680527,-2.3455117,-9.35363,-8.964115,-2.7173073,-0.5612913,0.9459096,-4.6857357,-2.6128256,-1.6417139,-4.4427032,-5.5962267,-2.846801,0.5027611,-0.7360063,-3.1029031,-0.01871169,-1.178507,-3.7153327,-1.2803,2.0639596,-3.877781,-4.92396,-0.37604523,-2.1782215,-3.5909276,-2.7663133,-2.346526,-6.129188,-4.340802,-0.23280796,-0.6186221,-1.972077,1.0476505,3.1869664,1.6486195,-1.2089176,-2.2881064,-0.995632,0.34621057,0.44433963,-0.496169,-0.13209826,0.5988548,0.2083171,-2.0083385,-1.0561199,0.26149976,-0.43801057,-1.4142985,-0.7944591,-0.6266594,0.20946503,-0.19318734,0.079470634,-0.83296347,0.9664646,1.5799114,-0.39393628,0.10130184,0.78311944,0.17081723,0.816987,-0.5667514,-0.37040192,1.3065851,-1.7011702,-1.1124551,0.57917434,1.13965,-2.6351247,-0.4442301,0.15157488,-0.042142022,-0.31322283,-0.59711045,0.2935132,-1.1494974,0.6700161,-0.5142195,-0.54257184,blues
-213.26424,115.16476,-11.69817,39.015358,-20.34833,13.082702,-9.1827,9.017152,-14.104312,4.271254,-6.0507803,3.7858355,0.22263548,-5.106882,-0.41015312,-1.1793449,-1.9147079,-2.2936609,2.8842604,-4.2338796,1.5943897,2.4687598,-0.89877784,1.8610445,5.0366416,0.77003556,5.6383834,0.4404487,-0.90267456,-2.202855,-1.8906778,-3.458123,-0.970141,1.5458177,3.1887379,4.5513167,1.9031553,-0.68681526,-2.741493,-0.059063006,-0.098981604,-0.98741347,-3.1809168,-0.69962347,-0.954536,-0.62227356,0.9950619,2.4486146,0.12983893,-2.936478,-1.6881827,1.6751789,-0.111278445,-1.2392634,-0.7291501,-2.4264944,-2.7541883,-0.47193143,0.53818315,-0.52204895,0.20916477,-2.2242112,-2.8069997,-3.7944562,-3.7572672,-2.1083014,-1.011321,1.6765003,6.774912,7.29929,2.9836195,-0.035054762,-1.4891219,-1.8374907,0.826904,1.5590551,0.27952233,0.75327873,-0.4638216,-0.74610126,0.57339907,1.3621199,0.459416,-0.035190072,-0.51285774,-0.26362935,0.3735164,0.3926841,-1.2650049,-1.838505,-0.06603367,1.16105,1.1265723,0.9778487,0.7914067,-0.30676594,-0.4373392,-0.073646255,-1.1823989,-1.3674477,0.45934314,1.2930425,1.5140153,1.4864986,1.1095744,0.1934515,0.22788766,0.4343514,0.12632601,0.037989423,-0.09296111,-0.24020371,0.17742233,0.0275777,-0.29342067,0.20731986,0.49506462,-0.055911317,-0.6109205,0.044935375,0.3442894,0.091996655,-0.5703476,-0.17251135,0.1250629,-0.15036401,-0.45981488,-0.6436029,blues
